PKM_Name;Gnum;Pnum;Chain_Name;ChainStructure;Chain_ShortName
P3PRRRR3G4P2A1;4;2;S5PRRRR3;P\`R\`R\`R\'R;PRRRR
P3PRRRR3V1G4P2A1;4;2;S5PRRRR3V1;P\`R\`R\`R\'R;PRRU
P3PRRRR6G1P2A1;1;2;S5PRRRR6;P\`R\`R\'R\'R;PRRRR
P3PRRRR6G1P3A1;1;3;S5PRRRR6;P\`R\`R\'R\'R;PRRRR
P3PRRRR6G4P2A1;4;2;S5PRRRR6;P\`R\`R\'R\'R;PRRRR
P3PRRRR6V1G1P2A1;1;2;S5PRRRR6V1;P\`R\`R\'R\'R;PRUR
P3PRRRR6V1G1P3A1;1;3;S5PRRRR6V1;P\`R\`R\'R\'R;PRUR
P3PRRRR6V1G4P2A1;4;2;S5PRRRR6V1;P\`R\`R\'R\'R;PRUR
P3PRRRR6V1G4P3A1;4;3;S5PRRRR6V1;P\`R\`R\'R\'R;PRUR
P3PRRRR8G1P2A1;1;2;S5PRRRR8;P\`R\'R\'R\`R;PRRRR
P3PRRRR8G1P3A1;1;3;S5PRRRR8;P\`R\'R\'R\=R;PRRRR
P3PRRRR8G4P2A1;4;2;S5PRRRR8;P\`R\'R\'R\`R;PRRRR
P3PRRRR8V1G1P2A1;1;2;S5PRRRR8V1;P\`R\'R\'R\`R;PUU
P3PRRRR8V1G1P3A1;1;3;S5PRRRR8V1;P\`R\'R\'R\=R;PUU
P3PRRRR8V1G4P2A1;4;2;S5PRRRR8V1;P\`R\'R\'R\`R;PUU
P3PRRRR8V2G1P2A1;1;2;S5PRRRR8V2;P\`R\'R\'R\`R;PRRU
P3PRRRR8V2G1P3A1;1;3;S5PRRRR8V2;P\`R\'R\'R\=R;PRRU
P3PRRRR8V2G4P2A1;4;2;S5PRRRR8V2;P\`R\'R\'R\`R;PRRU
